player_id,player_name,Brisbane,Hong Kong,Adelaide,Auckland,Australian Open,Montpellier,Cordoba,Dallas,Marseille,Buenos Aires,Delray Beach,Rotterdam,Rio De Janeiro,Acapulco,Dubai,Santiago,Indian Wells Masters,Miami Masters,Estoril,Houston,Marrakech,Monte Carlo Masters,Barcelona,Bucharest,Munich,Madrid Masters,Rome Masters,Geneva,Lyon,Roland Garros,'s-Hertogenbosch,Stuttgart,Halle,Queen's Club,Mallorca,Eastbourne,Wimbledon,Bastad,Gstaad,Hamburg,Newport,Atlanta,Kitzbuhel,Umag,Washington,Canada Masters,Cincinnati Masters,Winston-Salem,US Open,Chengdu,Hangzhou,Tokyo,Beijing,Shanghai Masters,Almaty,Antwerp,Stockholm,Basel,Vienna,Paris Masters,Belgrade,Metz,ATP Finals,total_points_earned
S0AG,Jannik Sinner,,,,,2000 - W,,,,,,,500 - W,,,,,400 - SF,1000 - W,,,,400 - SF,,,,200 - QF,,,,800 - SF,,,500 - W,,,,400 - QF,,,,,,,,,200 - QF,1000 - W,,2000 - W,,,,330 - F,1000 - W,,,,,,,,,1500 - W,12230
Z355,Alexander Zverev,,,,,800 - SF,,,,,,,,,0 - R32,,,200 - QF,400 - SF,,,,100 - R16,,,50 - QF,100 - R16,1000 - W,,,1300 - F,,,200 - SF,,,,200 - R16,,,330 - F,,,,,,200 - QF,400 - SF,,400 - QF,,,,,100 - R16,,,,,100 - QF,1000 - W,,,600 - SF,7480
A0E2,Carlos Alcaraz,,,,,400 - QF,,,,,100 - SF,,,0 - R32,,,,1000 - W,200 - QF,,,,,,,,200 - QF,,,,2000 - W,,,,50 - R16,,,2000 - W,,,,,,,,,,10 - R32,,50 - R64,,,,500 - W,200 - QF,,,,,,100 - R16,,,200 - RR,7010
MM58,Daniil Medvedev,,,,,1300 - F,,,,,,,,,,200 - SF,,650 - F,400 - SF,,,,100 - R16,,,,200 - QF,100 - R16,,,200 - R16,,,50 - R16,,,,800 - SF,,,,,,,,,10 - R32,10 - R32,,400 - QF,,,,200 - SF,200 - QF,,,,,,10 - R32,,,200 - RR,5030
FB98,Taylor Fritz,,,,,400 - QF,,,,,,250 - W,,,0 - R32,,,100 - R16,10 - R64,,,,10 - R64,,,165 - F,400 - SF,200 - QF,25 - R16,,200 - R16,,,,100 - QF,,,400 - QF,,,,,,,,,50 - R32,10 - R64,,1300 - F,,,0 - R32,,400 - SF,,,,,,10 - R32,,,800 - F,4830
RH16,Casper Ruud,,,,,100 - R32,,,,,,,,,330 - F,,,200 - QF,100 - R16,100 - SF,,,650 - F,500 - W,,,100 - R16,10 - R64,250 - W,,800 - SF,,,,,,,50 - R64,,,,,,,,,100 - R16,10 - R32,,200 - R16,,,0 - R32,,10 - R64,,,50 - QF,0 - R32,,10 - R32,,0 - R16,400 - SF,3970
D643,Novak Djokovic,,,,,800 - SF,,,,,,,,,,,,50 - R32,,,,,400 - SF,,,,,50 - R32,100 - SF,,400 - QF,,,,,,,1300 - F,,,,,,,,,,,,100 - R32,,,,,650 - F,,,,,,,,,,3850
RE44,Andrey Rublev,,250 - W,,,400 - QF,,,,,,,100 - QF,,,200 - SF,,50 - R32,10 - R64,,,,10 - R32,0 - R32,,,1000 - W,50 - R32,,,100 - R32,,,0 - R32,,,,10 - R128,,,,,,,100 - SF,100 - QF,650 - F,200 - QF,,200 - R16,,,,100 - QF,10 - R64,,,50 - QF,100 - QF,,10 - R32,,50 - QF,0 - RR,3750
DH58,Alex de Minaur,,,,,200 - R16,,,,,,,330 - F,,500 - W,,,100 - R16,100 - R16,,,,200 - QF,50 - R16,,,10 - R64,100 - R16,,,400 - QF,250 - W,,,0 - R32,,,400 - QF,,,,,,,,,,,,400 - QF,,,,,,,50 - QF,,,200 - SF,200 - QF,,,0 - RR,3490
D875,Grigor Dimitrov,250 - W,,,,100 - R32,,,,165 - F,,,200 - SF,,,,,100 - R16,650 - F,,,,100 - R16,,,,10 - R64,100 - R16,,,400 - QF,,,,50 - R16,,,200 - R16,,,,,,,,,100 - R16,10 - R32,,400 - QF,,,,,100 - R16,,,165 - F,,50 - R16,200 - QF,,,,3350
PL56,Tommy Paul,,,50 - QF,,100 - R32,,,250 - W,,,165 - F,,,0 - R32,,,400 - SF,10 - R64,,,,,,,,50 - R32,400 - SF,,,100 - R32,50 - QF,,,500 - W,,,400 - QF,,,,,,,,,50 - R32,10 - R64,,200 - R16,,,50 - R16,,100 - R16,,,250 - W,,0 - R32,10 - R64,,,,3145
R0DG,Holger Rune,165 - F,,,,50 - R64,100 - SF,,,,,,50 - R16,,200 - SF,,,200 - QF,10 - R64,,,,200 - QF,,,100 - SF,50 - R32,50 - R32,,,200 - R16,,,,0 - R32,,,200 - R16,,,100 - QF,,,,,,100 - R16,400 - SF,,10 - R128,,0 - R16,200 - SF,,100 - R16,,,,200 - SF,,400 - SF,,,,3085
TE51,Stefanos Tsitsipas,,,,,200 - R16,,,,,,,,,100 - QF,,,100 - R16,10 - R64,,,,1000 - W,330 - F,,,10 - R64,200 - QF,,,400 - QF,,,50 - R16,,,,50 - R64,,100 - SF,,,,,,,10 - R32,50 - R32,,10 - R128,,,0 - R32,,100 - R16,,50 - QF,,100 - QF,,200 - QF,,,,3070
HH26,Ugo Humbert,25 - R16,,,,100 - R32,,,,250 - W,,,0 - R32,,,500 - W,,50 - R32,50 - R32,,,,200 - QF,0 - R32,,,50 - R32,,,25 - R16,10 - R128,100 - SF,,,0 - R32,0 - R16,,200 - R16,,0 - R16,,,,,,,50 - R32,10 - R64,,50 - R64,,,330 - F,,50 - R32,,,,50 - R16,,650 - F,,,,2750
D0CO,Jack Draper,,,165 - F,,50 - R64,,,,,,,,,200 - SF,,,10 - R128,30 - R64,,,,10 - R64,,,50 - QF,30 - R64,30 - R64,0 - R32,,10 - R128,,250 - W,,100 - QF,,,50 - R64,,,,,,,,,10 - R64,200 - QF,,800 - SF,,,100 - QF,,,,,,,500 - W,100 - R16,,,,2695
TD51,Frances Tiafoe,,50 - QF,,,50 - R64,,,50 - QF,,,100 - SF,,,50 - R16,,,50 - R32,10 - R64,,165 - F,,,,,,10 - R64,10 - R64,,25 - R16,50 - R64,,50 - QF,,0 - R32,,,100 - R32,,,,,50 - QF,,,200 - SF,10 - R64,650 - F,,800 - SF,,,0 - R32,,50 - R32,50 - QF,,,,50 - R16,10 - R64,,,,2640
M0EJ,Lorenzo Musetti,,25 - R16,50 - QF,,50 - R64,,,,25 - R16,,,0 - R32,,,0 - R32,,50 - R32,100 - R16,25 - R16,,,100 - R16,0 - R32,,,10 - R64,10 - R64,,,100 - R32,,100 - SF,,330 - F,,,800 - SF,,,,,,,165 - F,,,50 - R32,,100 - R32,165 - F,,,50 - R16,10 - R64,,,,,200 - SF,10 - R64,,,,2525
HB71,Hubert Hurkacz,,,,,400 - QF,,,,100 - SF,,,50 - R16,,,100 - QF,,10 - R64,100 - R16,250 - W,,,100 - R16,,,,100 - R16,200 - QF,,,200 - R16,,,330 - F,,,,50 - R64,,,,,,,,,200 - QF,200 - QF,,50 - R64,,,50 - R16,,,,,,,,10 - R64,,,,2500
S0S1,Ben Shelton,0 - R32,,,100 - SF,100 - R32,,,100 - SF,,,,,,100 - QF,,,100 - R16,50 - R32,,250 - W,,,,,,50 - R32,50 - R32,25 - R16,,100 - R32,,0 - R16,,0 - R32,50 - QF,,200 - R16,,,,,25 - R16,,,200 - SF,50 - R32,200 - QF,,100 - R32,,,100 - QF,,100 - R16,,,,330 - F,,50 - R32,,,,2430
F0F1,Arthur Fils,,50 - QF,,100 - SF,50 - R64,,,,,0 - R32,,,0 - R32,,,50 - QF,50 - R32,10 - R128,25 - R16,,,50 - R32,100 - QF,,,10 - R64,10 - R64,,,10 - R128,25 - R16,,100 - QF,,,,200 - R16,,,500 - W,,,,,,10 - R64,50 - R32,,50 - R64,,,500 - W,,10 - R64,,,,200 - SF,,100 - R16,,,,2260
KE29,Karen Khachanov,,25 - R16,,,200 - R16,,,,100 - SF,,,,,,50 - R16,,10 - R64,100 - R16,,,,200 - QF,,,,100 - R16,100 - R16,,,50 - R64,0 - R16,,,0 - R32,,,50 - R64,,,,,,,,0 - R32,50 - R32,50 - R32,,10 - R128,,0 - R16,,100 - QF,10 - R64,250 - W,,,,330 - F,400 - SF,,,,2185
K0AH,Sebastian Korda,0 - R32,,100 - SF,,100 - R32,,,,25 - R16,,,0 - R32,,,100 - QF,,50 - R32,50 - R32,,,,50 - R32,,25 - R16,,50 - R32,50 - R32,,,100 - R32,165 - F,,,200 - SF,,,10 - R128,,,,,,,,500 - W,400 - SF,10 - R64,,50 - R64,,,,,,,,,,,,,,,2035
TE30,Alejandro Tabilo,,,,250 - W,10 - R128,,,,,25 - R16,,,0 - R32,,,165 - F,30 - R64,30 - R64,,,,50 - R32,,100 - SF,,10 - R128,400 - SF,,,10 - R128,,,,50 - R16,250 - W,,100 - R32,,,,,,0 - R16,,,100 - R16,10 - R64,,10 - R128,,,0 - R32,,50 - R32,50 - QF,,,50 - R16,,50 - R32,,,,1800
C0AU,Francisco Cerundolo,,25 - R16,,25 - R16,50 - R64,,25 - R16,,,25 - R16,,,200 - SF,,,,50 - R32,50 - R32,,25 - R16,,50 - R32,,50 - QF,,200 - QF,50 - R32,,25 - R16,200 - R16,,,,0 - R32,,,10 - R128,,,100 - QF,,,,250 - W,,,10 - R64,0 - R32,50 - R64,,,,50 - R16,10 - R64,100 - SF,,,0 - R32,,100 - R16,50 - QF,,,1780
P09Z,Alexei Popyrin,25 - R16,,,,50 - R64,,,,,,,,,,,,,50 - R32,,,,100 - R16,0 - R64,,,10 - R128,10 - R128,,,10 - R128,25 - R16,,,0 - R32,,,100 - R32,,,0 - R32,,,,0 - R32,,1000 - W,10 - R64,,200 - R16,,,0 - R32,,50 - R32,,,,,0 - R32,100 - R16,,,,1740
M0FH,Tomas Machac,25 - R16,,,,100 - R32,,,,50 - QF,,,,,,0 - R32,,30 - R64,200 - QF,,,,,25 - R32,,,30 - R64,,165 - F,,100 - R32,,,0 - R32,,,,50 - R64,,,,,,,0 - R32,,10 - R64,10 - R64,,200 - R16,,,200 - SF,,400 - SF,25 - R16,,,,100 - QF,10 - R64,,,,1730
B0BI,Sebastian Baez,0 - R32,,0 - R32,,100 - R32,,100 - SF,,,50 - QF,,,500 - W,,,250 - W,50 - R32,10 - R64,,,,10 - R64,0 - R32,,,50 - R32,100 - R16,50 - QF,,50 - R64,,,,0 - R32,,,10 - R128,,,200 - SF,,,50 - QF,,,,50 - R32,0 - R32,50 - R64,,,,,10 - R64,,0 - R16,,0 - R32,,10 - R64,,,,1700
AG37,Felix Auger-Aliassime,,,,25 - R16,100 - R32,100 - SF,,,25 - R16,,,50 - R16,,0 - R32,,,50 - R32,30 - R64,,,,50 - R32,,,50 - QF,650 - F,50 - R32,,,200 - R16,,,0 - R32,,,,10 - R128,,50 - QF,,,,,,,10 - R64,100 - R16,,10 - R128,,,0 - R32,,10 - R64,,50 - QF,,50 - R16,,,,,,1670
L0BV,Jiri Lehecka,,,250 - W,,50 - R64,,,,25 - R16,,,0 - R32,,,100 - QF,,200 - QF,10 - R64,,,,,,,,400 - SF,,,,,,,,,,,,,,,,,,,,,100 - R16,,100 - R32,,,,100 - QF,50 - R32,,165 - F,,0 - R32,,10 - R64,100 - SF,,,1660
TC61,Jordan Thompson,100 - SF,,25 - R16,,50 - R64,,,50 - QF,,,50 - QF,,,0 - R32,,,10 - R128,10 - R64,,50 - QF,,,50 - R16,,,10 - R64,10 - R64,,,10 - R128,0 - R32,,,200 - SF,,,50 - R64,,,,,165 - F,,,100 - QF,50 - R32,100 - R16,,200 - R16,,,50 - R16,,10 - R64,,,,,,200 - QF,,,,1550
C0E9,Flavio Cobolli,,,,,100 - R32,50 - QF,,,,,50 - QF,,,50 - R16,,,10 - R128,30 - R64,,,25 - R16,,0 - R64,,,50 - R32,30 - R64,100 - SF,,50 - R64,,0 - R32,0 - R32,,,,50 - R64,,,50 - R16,,,,25 - R16,330 - F,50 - R32,100 - R16,,100 - R32,,,,100 - QF,50 - R32,,,,,50 - R16,,,,,1450
