player_id,player_name,"{""Australian Open"",""G""}","{""Roland Garros"",""G""}","{""Wimbledon"",""G""}","{""US Open"",""G""}","{""Indian Wells Masters"",""M""}","{""Miami Masters"",""M""}","{""Madrid Masters"",""M""}","{""Rome Masters"",""M""}","{""Canada Masters"",""M""}","{""Cincinnati Masters"",""M""}","{""Shanghai Masters"",""M""}","{""Monte Carlo Masters"",""M""}","{""Paris Masters"",""M""}","{""Dallas"",""500""}","{""Rotterdam"",""500""}","{""Doha"",""500""}","{""Rio de Janeiro"",""500""}","{""Dubai"",""500""}","{""Acapulco"",""500""}","{""Barcelona"",""500""}","{""Munich"",""500""}","{""Hamburg"",""500""}","{""Queen's Club"",""500""}","{""Halle"",""500""}","{""Tokyo"",""500""}","{""Beijing"",""500""}","{""Basel"",""500""}","{""Vienna"",""500""}","{""Washington"",""500""}","{""Brisbane"",""250""}","{""Winston-Salem"",""250""}","{""Hong Kong"",""250""}","{""Adelaide"",""250""}","{""Auckland"",""250""}","{""Montpellier"",""250""}","{""Marseille"",""250""}","{""Delray Beach"",""250""}","{""Buenos Aires"",""250""}","{""Santiago"",""250""}","{""Houston"",""250""}","{""Marrakech"",""250""}","{""Bucharest"",""250""}","{""Geneva"",""250""}","{""Stuttgart"",""250""}","{""'s-Hertogenbosch"",""250""}","{""Mallorca"",""250""}","{""Eastbourne"",""250""}","{""Los Cabos"",""250""}","{""Gstaad"",""250""}","{""Bastad"",""250""}","{""Umag"",""250""}","{""Kitzbuhel"",""250""}","{""Chengdu"",""250""}","{""Hangzhou"",""250""}","{""Stockholm"",""250""}","{""Brussels"",""250""}","{""Almaty"",""250""}","{""Metz"",""250""}","{""Athens"",""250""}","{""ATP Finals"",""F""}"
RE44,Andrey Rublev,10,200,200,200,10,10,50,10,200,200,10,100,100,,100,500,,0,,50,,330,,50,,0,,0,0,,,0,,,100,,,,,,,,,,,,,100,,,,,,0,,,,,,
A09T,Dan Added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
GJ16,Federico Agustin Gomez,,50,,10,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T0AP,Chun-Hsin Tseng,,,10,10,,30,,10,10,,,,,,,,100,,,,0,,,,,,,,,,0,,,,,,,,,,,0,,,,,0,,,0,25,,,,,,,,,
D0FJ,Luciano Darderi,10,10,100,100,10,30,30,30,,10,50,,10,,,,50,,,,100,100,,0,50,,,0,,,25,0,,0,,,,0,0,,250,,,,0,,0,,,250,250,,0,,,,0,,0,
RH24,Emil Ruusuvuori,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
D994,James Duckworth,50,10,10,10,,,,,30,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,25,50,,,,,,,,,100,,,
M0K4,Elmer Moller,,10,10,10,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,
BI81,Alex Bolt,,,10,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L987,Dusan Lajovic,10,10,10,,30,,10,30,,,,10,,,,,0,,,,,,,,,,,,,25,,,,,,,,25,,,,0,0,,,,,,,,0,,,,,,,,,
